Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 05:33:59,"3.101635, 101.6120767",140 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 05:35:29,"3.1028183, 101.6162867",198 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 05:36:39,"3.1074, 101.6161983",140 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 05:37:29,"3.1094583, 101.61701",72 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 05:15:19,"3.1111164, 101.612961",53 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 05:17:04,"3.109035, 101.6113933",163 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 05:34:14,"3.1016417, 101.6131933",114 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 05:37:39,"3.1099667, 101.6164033",174 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:58:07,"3.111048, 101.6122895",64 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 04:59:50,"3.1084883, 101.6112733",90 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 05:01:30,"3.1022667, 101.614985",199 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 05:02:30,"3.10157, 101.6109383",176 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 05:41:05,"3.1102717, 101.6177583",143 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:58:07,"3.111048, 101.6122895",64 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 04:59:50,"3.1084883, 101.6112733",101 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 05:00:35,"3.1062383, 101.610745",130 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 05:01:30,"3.1022667, 101.614985",120 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 05:02:35,"3.1012683, 101.610905",192 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 05:03:30,"3.09765, 101.6109467",92 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 05:05:10,"3.093367, 101.6109394",181 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 05:06:10,"3.089645, 101.6129467",176 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 05:07:35,"3.0893583, 101.614925",82 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 05:08:55,"3.092436, 101.6149893",198 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 05:10:10,"3.0952633, 101.6174033",21 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 05:15:55,"3.0946333, 101.6274367",193 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 05:16:30,"3.0958957, 101.6291346",167 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 05:17:45,"3.097515, 101.63227",112 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 05:18:10,"3.100225, 101.63229",59 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 05:18:30,"3.1014217, 101.6316383",110 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 05:19:35,"3.103015, 101.62945",56 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 05:20:00,"3.10417, 101.6273767",177 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 05:20:35,"3.106105, 101.6258083",89 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 05:21:30,"3.10882, 101.62451",177 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 05:25:30,"3.111035, 101.6224683",172 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 05:28:15,"3.1127367, 101.62027",134 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 05:30:55,"3.1147117, 101.6213567",68 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 05:32:35,"3.11621, 101.6225517",118 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 05:34:15,"3.1179833, 101.624225",118 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 05:34:40,"3.1200033, 101.6228267",136 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 05:37:00,"3.11814, 101.619605",173 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 05:40:45,"3.1118933, 101.6190733",104 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 05:41:25,"3.109885, 101.6165383",192 meter,32
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 05:10:15,"3.110465, 101.617915",167 meter,Sequence
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 05:12:25,"3.1107383, 101.614025",142 meter,23
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 05:05:45,"3.11789, 101.6200383",118 meter,Sequence
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 05:07:40,"3.1163683, 101.6219433",130 meter,30
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 05:08:20,"3.1144517, 101.6211567",85 meter,31
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 05:09:45,"3.1124417, 101.6194817",180 meter,26
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 05:12:05,"3.1101183, 101.6162083",148 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 05:12:35,"3.1108467, 101.6129583",29 meter,33
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:30:19,"3.1105901, 101.6133151",64 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 04:32:02,"3.1086967, 101.6113083",114 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 04:32:47,"3.107445, 101.607785",158 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 04:33:42,"3.1094017, 101.6049083",136 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 04:34:12,"3.10952, 101.6005917",122 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 04:34:32,"3.1094367, 101.5974583",173 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 04:37:17,"3.1015883, 101.5986717",148 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 04:38:12,"3.1025417, 101.600445",28 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 04:38:17,"3.102985, 101.6004333",64 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 04:39:02,"3.104855, 101.60028",48 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 04:40:42,"3.10529, 101.6059517",149 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 04:41:22,"3.1035967, 101.6070533",64 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 04:41:47,"3.1019467, 101.6060083",114 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 04:42:57,"3.0987433, 101.6038067",153 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 04:43:27,"3.097255, 101.6045817",27 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 04:43:47,"3.0965017, 101.6055317",13 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 04:43:57,"3.096235, 101.605895",47 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 04:45:02,"3.097695, 101.607105",144 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 04:46:12,"3.1022817, 101.6080583",163 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 04:47:07,"3.1016033, 101.6118133",169 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 04:48:47,"3.1029017, 101.6164333",188 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 04:49:47,"3.1078983, 101.6162217",86 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 04:50:07,"3.10934, 101.6170333",83 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:30:19,"3.1105901, 101.6133151",64 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 04:32:02,"3.1086967, 101.6113083",124 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 04:47:17,"3.10159, 101.612485",192 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 04:50:27,"3.110165, 101.6161683",142 meter,4
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:22:55,"3.1110264, 101.6123529",58 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 04:24:06,"3.109415, 101.6114917",195 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 04:25:46,"3.101755, 101.6150083",188 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 04:26:41,"3.1013, 101.61094",179 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 05:02:26,"3.110105, 101.617645",127 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:22:55,"3.1110264, 101.6123529",58 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 04:24:16,"3.1079833, 101.6111917",48 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 04:24:31,"3.1063667, 101.6107083",142 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 04:25:36,"3.1030117, 101.61493",184 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 04:26:41,"3.1013, 101.61094",195 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 04:27:11,"3.09713, 101.61094",35 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 04:29:46,"3.0922617, 101.6109483",59 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 04:30:26,"3.088985, 101.61298",138 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 04:31:21,"3.0897667, 101.6149433",37 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 04:32:31,"3.0924243, 101.6151085",187 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 04:33:21,"3.0947717, 101.617095",78 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 04:39:51,"3.0946367, 101.6274",189 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 04:40:16,"3.0958533, 101.6291317",169 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 04:41:11,"3.0969183, 101.632235",178 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 04:41:41,"3.1003467, 101.63237",44 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 04:42:01,"3.10141, 101.6316133",108 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 04:42:56,"3.1024983, 101.6294467",108 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 04:43:26,"3.1040317, 101.62682",116 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 04:44:11,"3.105845, 101.62595",122 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 04:45:51,"3.108815, 101.6241117",140 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 04:48:31,"3.1110433, 101.6224417",169 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 04:53:46,"3.1127472, 101.6202429",134 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 04:54:41,"3.1147583, 101.6213067",67 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 04:55:06,"3.116545, 101.62274",75 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 04:56:06,"3.1184983, 101.6240467",58 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 04:57:01,"3.120265, 101.6224383",84 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 04:59:11,"3.1182917, 101.6194817",194 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 05:02:01,"3.1121033, 101.61922",132 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 05:03:26,"3.1100283, 101.6163333",164 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:16:17,"3.1113329, 101.6120988",101 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 04:18:00,"3.10927, 101.6114683",179 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 04:19:45,"3.1074183, 101.6070917",90 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 04:20:40,"3.1093383, 101.6048583",131 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 04:21:40,"3.1094117, 101.6009617",163 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 04:22:25,"3.1094633, 101.5972617",155 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 04:24:50,"3.1015167, 101.5986667",150 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 04:26:05,"3.1022917, 101.600455",7 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 04:26:15,"3.103445, 101.6004267",16 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 04:26:25,"3.1043233, 101.600395",84 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-02 04:28:15,"3.1053967, 101.6057033",179 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-02 04:28:55,"3.1038283, 101.6070483",86 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-02 04:29:20,"3.1018417, 101.6058783",97 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-02 04:30:00,"3.0991717, 101.6040633",188 meter,13
15,RUMAH NO. 52 - JLN SS5A/14,"3.097113, 101.604774",2019-06-02 04:30:50,"3.0970433, 101.6049033",16 meter,14
16,RUMAH NO. 28 - JLN SS5A/14,"3.09660528450981, 101.605475706997",2019-06-02 04:31:00,"3.09669, 101.60534",18 meter,15
17,YAYASAN TAIWAN BUDDHIST (OPP)– JLN 5A/14,"3.09602704547199, 101.606265160397",2019-06-02 04:31:35,"3.0962267, 101.60597",40 meter,16
18,MASJID HIDAYAH – JLN MAJLIS,"3.09899537677687, 101.607111585593",2019-06-02 04:32:15,"3.0975017, 101.6070367",165 meter,17
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 04:34:10,"3.1021633, 101.6083133",132 meter,18
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 04:34:45,"3.101635, 101.6119017",159 meter,19
21,SIMPANG JLN SS1/38 – JLN SS1/36,"3.104599, 101.61648",2019-06-02 04:36:05,"3.1028233, 101.61619",199 meter,20
22,NURSERI (OPP)– JLN SS1/36,"3.108636, 101.616465",2019-06-02 04:37:25,"3.1069617, 101.6162017",187 meter,21
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 04:37:50,"3.1092933, 101.616985",84 meter,22
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:16:17,"3.1113329, 101.6120988",101 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 04:18:00,"3.10927, 101.6114683",190 meter,1
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 04:35:00,"3.1016767, 101.6130267",133 meter,2
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 04:38:10,"3.1098217, 101.61655",196 meter,4
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 04:41:13,"3.1101517, 101.6176533",129 meter,Sequence
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:43:58,"3.1106617, 101.6144067",184 meter,23
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 04:37:38,"3.1181017, 101.6197317",159 meter,Sequence
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 04:39:03,"3.1163619, 101.6217961",127 meter,30
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 04:40:23,"3.1143717, 101.621055",71 meter,31
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 04:40:53,"3.11218, 101.61928",143 meter,26
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 04:43:38,"3.1100683, 101.616175",146 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 04:44:08,"3.11085, 101.6132517",59 meter,33
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 03:58:02,"3.1110476, 101.6122665",66 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 03:59:34,"3.1087083, 101.6113767",116 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 04:01:04,"3.1016483, 101.6149833",184 meter,2
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 04:02:09,"3.1011067, 101.6109417",184 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 04:37:34,"3.1104417, 101.6179517",170 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 03:58:02,"3.1110476, 101.6122665",66 meter,Sequence
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 03:59:34,"3.1087083, 101.6113767",128 meter,1
3,RUMAH NO. 107 – JLN SS 3/39,"3.1055572225102, 101.611702085264",2019-06-02 04:00:04,"3.1059767, 101.6108267",108 meter,2
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 04:00:54,"3.102525, 101.6150067",143 meter,3
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 04:02:09,"3.1011067, 101.6109417",174 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 04:02:39,"3.098005, 101.6109267",131 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 04:04:34,"3.0934767, 101.610965",193 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 04:05:29,"3.089425, 101.6129183",164 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 04:07:09,"3.0899683, 101.61494",15 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 04:08:04,"3.0924217, 101.61533",167 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 04:09:14,"3.09486, 101.6171783",65 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 04:16:19,"3.0946117, 101.6273767",189 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 04:16:59,"3.095975, 101.6294367",132 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 04:17:39,"3.0970567, 101.632245",163 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 04:18:19,"3.10038, 101.6323633",41 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 04:18:44,"3.1013582, 101.6316556",112 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 04:19:49,"3.1029233, 101.6294717",66 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 04:20:19,"3.103965, 101.62667",101 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 04:20:44,"3.1056683, 101.6258583",134 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 04:23:49,"3.1087317, 101.624615",192 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 04:26:44,"3.1113917, 101.621945",102 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 04:28:49,"3.11284, 101.620185",127 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 04:29:29,"3.114965, 101.6215583",32 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 04:30:54,"3.1162183, 101.6225967",115 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 04:31:39,"3.11792, 101.624225",124 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 04:32:14,"3.1204667, 101.6221933",49 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 04:34:24,"3.1182383, 101.6195067",188 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 04:37:14,"3.1119117, 101.61916",111 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 04:38:09,"3.1099817, 101.6163733",170 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 03:52:17,"3.110921, 101.6123406",52 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 03:53:28,"3.109045, 101.6114",153 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-02 03:54:33,"3.1074367, 101.607295",108 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-02 03:55:13,"3.1093717, 101.6050583",153 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-02 03:55:43,"3.1094767, 101.600335",93 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-02 03:56:08,"3.1094633, 101.5964433",89 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-02 03:57:43,"3.101545, 101.598955",118 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-02 03:58:33,"3.1019817, 101.6004383",35 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-02 03:58:43,"3.10297, 101.60046",66 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-02 03:59:23,"3.10449, 101.6003533",69 meter,9
