Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
4,SEK. MEN. SRI PERMATA – JLN SS 3/80,"3.10151490209982, 101.614209672132",2019-06-02 13:01:34,"3.1026132, 101.6149806",149 meter,Sequence
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-02 13:02:55,"3.10107, 101.6109533",170 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-02 13:03:25,"3.097425, 101.61096",67 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-02 13:05:10,"3.0924867, 101.610965",84 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-02 13:06:00,"3.0886133, 101.6130583",123 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-02 13:07:35,"3.0893967, 101.6149717",78 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-02 13:08:50,"3.0924133, 101.615081",190 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-02 13:10:00,"3.0945267, 101.6169783",107 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-02 13:17:10,"3.0948383, 101.6273983",175 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-02 13:17:30,"3.0958283, 101.62901",182 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-02 13:18:40,"3.0969483, 101.63226",175 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-02 13:19:10,"3.1001483, 101.63238",61 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-02 13:19:40,"3.1013617, 101.6313567",79 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-02 13:20:40,"3.1029017, 101.6295583",73 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-02 13:21:10,"3.1040283, 101.6273383",173 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-02 13:21:45,"3.1056683, 101.625845",133 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-02 13:22:40,"3.1088217, 101.6241883",146 meter,23
25,HERBALINE – JLN 21/11,"3.11196181822721, 101.621221934795",2019-06-02 13:24:20,"3.11138, 101.6220167",109 meter,24
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 13:26:25,"3.1128417, 101.6201483",128 meter,25
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 13:27:25,"3.11492, 101.6215867",35 meter,26
27,BALAI POLIS SEA PARK – JLN SS2/24,"3.11712212470101, 101.623102230366",2019-06-02 13:28:30,"3.1161967, 101.622565",118 meter,31
28,VISION SPACE – JLN SS 2/75,"3.11896809448934, 101.623816438545",2019-06-02 13:29:00,"3.1177933, 101.6243967",145 meter,27
29,PUBLIC BANK – JLN SS 2/75,"3.1207195747442, 101.621832946834",2019-06-02 13:29:40,"3.1202667, 101.62249",89 meter,28
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 13:31:15,"3.118215, 101.61959",179 meter,29
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 13:34:20,"3.11197, 101.6191583",116 meter,30
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:36:15,"3.1103067, 101.6160167",121 meter,32
