Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
5,TAMAN PERMAINAN – JLN SS 3/29,"3.09953717185688, 101.610986705879",2019-06-08 00:51:39,"3.10088, 101.6109083",149 meter,4
6,7 ELEVEN – JLN SS 3/29,"3.09682337351054, 101.611003335106",2019-06-08 00:52:09,"3.0971483, 101.6109017",38 meter,5
7,RUMAH NO. 1 – JLN SS 3/29,"3.09173167596204, 101.610995720938",2019-06-08 00:54:29,"3.0933467, 101.610905",179 meter,6
8,PASARAYA BINTANG – JLN SS 8/29,"3.0886277, 101.6141655",2019-06-08 00:55:24,"3.0891267, 101.6129217",149 meter,7
9,PJ21 SRI SURIA – JLN SS 8/39,"3.09009995530852, 101.614893880919",2019-06-08 00:56:34,"3.089325, 101.6149267",86 meter,8
10,RUMAH NO. 9 – JLN SS 1/11,"3.09328693210492, 101.616557211215",2019-06-08 00:57:39,"3.092482, 101.6150138",193 meter,9
11,RUMAH NO. 35 – JLN SS 1/11,"3.09527625790925, 101.617587312955",2019-06-08 00:58:44,"3.0951033, 101.6172833",39 meter,10
16,MASJID/SEK REN. AGAMA – JLN 229,"3.09581055585597, 101.626158571955",2019-06-08 01:05:09,"3.094645, 101.627275",179 meter,11
17,SHELL – PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",2019-06-08 01:05:39,"3.0961017, 101.629795",91 meter,16
18,SEK. MEN. SRI UTAMA – JLN 51A/227,"3.09852573401422, 101.63231163406",2019-06-08 01:06:09,"3.097345, 101.6322367",131 meter,17
19,BANGUNAN O’CONNOR – JLN 51A/227,"3.1006311, 101.6326407",2019-06-08 01:06:39,"3.1004383, 101.63232",42 meter,18
20,HONDA TRAINING CENTRE – JLN 51A/227,"3.10137299701371, 101.630645769085",2019-06-08 01:06:59,"3.1013517, 101.631385",82 meter,19
21,SEK. MEN. (P) SRI AMAN – JLN SS 14/47,"3.10342898876476, 101.629160797821",2019-06-08 01:07:44,"3.1020867, 101.6293517",150 meter,20
22,MAZ INTERNATIONAL SCHOOL,"3.104181, 101.625786",2019-06-08 01:08:14,"3.104115, 101.6275017",191 meter,21
23,WISMA JAFER ZAIDI – JLN 20/14,"3.10676403668525, 101.625344054112",2019-06-08 01:09:14,"3.1065733, 101.62571",46 meter,22
24,SHELL – JLN 21/1,"3.10958456021512, 101.623112820665",2019-06-08 01:09:44,"3.1087933, 101.62458",185 meter,23
